Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,lifestage,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,timepoint,treatment,sex
SRR11782783,RNA-Seq,300,11043353400,PRJNA632473,SAMN14910447,4351046959,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335235,GSM4550709,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550709,Whole organism,SRP261393,high2,control,female
SRR11782785,RNA-Seq,300,11588912700,PRJNA632473,SAMN14910445,4627631155,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335237,GSM4550711,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550711,Whole organism,SRP261393,high2,control,female
SRR11782787,RNA-Seq,300,10177636500,PRJNA632473,SAMN14910443,4045582405,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335239,GSM4550713,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550713,Whole organism,SRP261393,high2,control,female
SRR11782788,RNA-Seq,300,9715573500,PRJNA632473,SAMN14910442,3848261162,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335240,GSM4550714,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550714,Whole organism,SRP261393,high2,control,male
SRR11782790,RNA-Seq,300,10821032400,PRJNA632473,SAMN14910440,4288281038,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335242,GSM4550716,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550716,Whole organism,SRP261393,high2,control,male
SRR11782792,RNA-Seq,300,9494967600,PRJNA632473,SAMN14910438,3743649532,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335244,GSM4550718,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550718,Whole organism,SRP261393,high3,control,male
SRR11782794,RNA-Seq,300,9680974200,PRJNA632473,SAMN14910436,3835813578,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335246,GSM4550720,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550720,Whole organism,SRP261393,high3,control,male
SRR11782796,RNA-Seq,300,9492884100,PRJNA632473,SAMN14910434,3752132223,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335248,GSM4550722,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550722,Whole organism,SRP261393,high3,control,male
SRR11782797,RNA-Seq,300,9424530900,PRJNA632473,SAMN14910467,3726869841,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335249,GSM4550723,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550723,Whole organism,SRP261393,high3,control,female
SRR11782800,RNA-Seq,300,9696343500,PRJNA632473,SAMN14910464,3838083458,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335252,GSM4550726,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550726,Whole organism,SRP261393,low2,control,male
SRR11782802,RNA-Seq,300,10970388000,PRJNA632473,SAMN14910462,4371422175,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335254,GSM4550728,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550728,Whole organism,SRP261393,low2,control,male
SRR11782804,RNA-Seq,300,9908140800,PRJNA632473,SAMN14910460,3956556395,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335256,GSM4550730,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550730,Whole organism,SRP261393,low2,control,male
SRR11782806,RNA-Seq,300,10543288800,PRJNA632473,SAMN14910458,4188513060,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335258,GSM4550732,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550732,Whole organism,SRP261393,low2,control,male
SRR11782807,RNA-Seq,300,9375662400,PRJNA632473,SAMN14910457,3706089837,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335259,GSM4550733,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550733,Whole organism,SRP261393,low3,control,female
SRR11782809,RNA-Seq,300,10681593900,PRJNA632473,SAMN14910455,4301155084,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335261,GSM4550735,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550735,Whole organism,SRP261393,low3,control,female
SRR11782810,RNA-Seq,300,10435310700,PRJNA632473,SAMN14910449,4161499823,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335262,GSM4550736,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550736,Whole organism,SRP261393,low3,control,male
SRR11782813,RNA-Seq,300,9703189800,PRJNA632473,SAMN14910454,3921324983,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335265,GSM4550739,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550739,Whole organism,SRP261393,low3,control,female
SRR11782815,RNA-Seq,300,9755946600,PRJNA632473,SAMN14910452,3732055632,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335267,GSM4550741,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,larvae,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550741,Whole organism,SRP261393,high1,control,
SRR11782816,RNA-Seq,300,9269121900,PRJNA632473,SAMN14910451,3572338820,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335268,GSM4550742,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,larvae,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550742,Whole organism,SRP261393,high1,control,
SRR11782818,RNA-Seq,300,10096813200,PRJNA632473,SAMN14910487,3942822967,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335270,GSM4550744,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,larvae,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550744,Whole organism,SRP261393,high1,control,
SRR11782819,RNA-Seq,300,9294494700,PRJNA632473,SAMN14910486,3597327069,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335271,GSM4550745,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,larvae,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550745,Whole organism,SRP261393,low1,control,
SRR11782826,RNA-Seq,300,9340051200,PRJNA632473,SAMN14910479,3715477327,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335278,GSM4550752,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550752,Whole organism,SRP261393,high2,fluctuating,male
SRR11782831,RNA-Seq,300,10734461700,PRJNA632473,SAMN14910474,4293971424,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335283,GSM4550757,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550757,Whole organism,SRP261393,high3,fluctuating,female
SRR11782833,RNA-Seq,300,11151151200,PRJNA632473,SAMN14910472,4239776608,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335285,GSM4550759,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550759,Whole organism,SRP261393,high3,fluctuating,female
SRR11782835,RNA-Seq,300,10189741200,PRJNA632473,SAMN14910470,4135740150,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335287,GSM4550761,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550761,Whole organism,SRP261393,high3,fluctuating,female
SRR11782838,RNA-Seq,300,10829177700,PRJNA632473,SAMN14910510,4157662198,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335290,GSM4550764,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550764,Whole organism,SRP261393,high3,fluctuating,male
